weather_id,weather_info,wind_speed,temperature,time
803,Clouds,9.77,8.87,2023-03-28 08
803,Clouds,11.83,9.81,2023-03-28 09
803,Clouds,10.29,11.52,2023-03-28 10
803,Clouds,8.23,11.86,2023-03-28 11
803,Clouds,7.72,12.39,2023-03-28 12
803,Clouds,7.72,13.55,2023-03-28 13
803,Clouds,6.69,14.59,2023-03-28 14
803,Clouds,6.17,15.56,2023-03-28 15
803,Clouds,5.66,15.09,2023-03-28 16
803,Clouds,5.14,15.29,2023-03-28 17
803,Clouds,6.17,14.75,2023-03-28 18
803,Clouds,3.6,13.12,2023-03-28 19
803,Clouds,5.66,12.34,2023-03-28 20
803,Clouds,5.14,12.37,2023-03-28 21
803,Clouds,6.17,11.76,2023-03-28 22
803,Clouds,4.63,11.33,2023-03-28 23
803,Clouds,5.66,11.35,2023-03-29 00
803,Clouds,7.2,11.7,2023-03-29 01
803,Clouds,5.66,11.7,2023-03-29 02
803,Clouds,8.23,11.49,2023-03-29 03
803,Clouds,7.72,11.73,2023-03-29 04
803,Clouds,5.14,11.83,2023-03-29 05
803,Clouds,4.92,10.99,2023-03-29 06
803,Clouds,8.23,11.38,2023-03-29 07
803,Clouds,5.66,11.38,2023-03-29 08
803,Clouds,5.66,11.17,2023-03-29 09
701,Mist,5.66,11.21,2023-03-29 10
310,Drizzle,8.75,12.65,2023-03-29 11
300,Drizzle,10.29,13.39,2023-03-29 12
803,Clouds,10.29,15.98,2023-03-29 13
803,Clouds,10.8,16.23,2023-03-29 14
803,Clouds,10.29,16.24,2023-03-29 15
803,Clouds,8.75,15.8,2023-03-29 16
803,Clouds,9.77,14.74,2023-03-29 17
803,Clouds,7.2,14.58,2023-03-29 18
803,Clouds,3.09,6.8,2023-04-02 22
800,Clear,3.09,6.69,2023-04-02 23
800,Clear,3.09,6.53,2023-04-03 00
800,Clear,2.57,6.36,2023-04-03 01
800,Clear,2.57,6.44,2023-04-03 02
803,Clouds,2.57,6.73,2023-04-03 03
803,Clouds,3.09,6.96,2023-04-03 04
803,Clouds,2.57,7.07,2023-04-03 05
803,Clouds,2.57,7.68,2023-04-03 06
803,Clouds,5.14,8.15,2023-04-03 07
803,Clouds,5.66,9.09,2023-04-03 08
803,Clouds,5.66,9.16,2023-04-03 09
803,Clouds,5.66,9.71,2023-04-03 10
803,Clouds,6.17,9.57,2023-04-03 11
803,Clouds,5.66,10.18,2023-04-03 12
803,Clouds,6.17,10.5,2023-04-03 13
803,Clouds,7.2,11.05,2023-04-03 14
803,Clouds,7.2,11.35,2023-04-03 15
803,Clouds,6.71,11.56,2023-04-03 16
803,Clouds,5.66,11.19,2023-04-03 17
803,Clouds,5.14,10.19,2023-04-03 18
803,Clouds,4.12,8.96,2023-04-03 19
803,Clouds,3.09,7.3,2023-04-03 20
803,Clouds,2.68,6.7,2023-04-03 21
803,Clouds,1.54,5.9,2023-04-03 22
802,Clouds,3.6,5.88,2023-04-03 23
803,Clouds,4.12,5.86,2023-04-04 00
803,Clouds,3.09,5.75,2023-04-04 01
803,Clouds,2.57,6.87,2023-04-04 02
803,Clouds,1.34,6.51,2023-04-04 03
803,Clouds,2.06,7.25,2023-04-04 04
502,Rain,2.57,7.23,2023-04-04 05
500,Rain,4.12,7.58,2023-04-04 06
501,Rain,5.14,8.07,2023-04-04 07
500,Rain,2.57,8.37,2023-04-04 08
803,Clouds,3.6,9.38,2023-04-04 09
803,Clouds,5.66,9.82,2023-04-04 10
803,Clouds,5.66,11.16,2023-04-04 11
803,Clouds,6.17,11.92,2023-04-04 12
803,Clouds,6.69,12.73,2023-04-04 13
803,Clouds,7.2,13.75,2023-04-04 14
803,Clouds,7.2,14.13,2023-04-04 15
803,Clouds,7.2,14.36,2023-04-04 16
803,Clouds,8.23,12.91,2023-04-04 17
803,Clouds,8.75,11.62,2023-04-04 18
803,Clouds,7.2,11.02,2023-04-04 19
501,Rain,5.14,10.67,2023-04-04 20
500,Rain,6.17,9.59,2023-04-04 21
501,Rain,7.2,9.73,2023-04-04 22
500,Rain,7.2,9.91,2023-04-04 23
500,Rain,8.23,10.61,2023-04-05 00
803,Clouds,7.72,10.78,2023-04-05 01
803,Clouds,8.23,10.54,2023-04-05 02
803,Clouds,7.72,11.09,2023-04-05 03
803,Clouds,7.72,11.31,2023-04-05 04
803,Clouds,5.66,11.31,2023-04-05 05
803,Clouds,6.17,11.66,2023-04-05 06
803,Clouds,6.17,11.97,2023-04-05 07
803,Clouds,8.23,12.7,2023-04-05 08
500,Rain,6.69,13.55,2023-04-05 09
803,Clouds,6.69,14.04,2023-04-05 10
803,Clouds,5.14,14.47,2023-04-05 11
803,Clouds,6.69,14.77,2023-04-05 12
803,Clouds,7.2,14.89,2023-04-05 13
803,Clouds,6.17,14.37,2023-04-05 14
803,Clouds,6.17,14.73,2023-04-05 15
803,Clouds,6.17,12.9,2023-04-05 16
300,Drizzle,4.63,12.39,2023-04-05 17
803,Clouds,5.66,12.75,2023-04-05 18
